stressed	{(stress)}
escalates	{(escalate)}
slabs	{(slab)}
beauty's	{(beauty)}
roughnecks	{(rough)}{(neck)}
intolerance	<im<{(toler)>ance>}
dwarfed	{(dwarf)}
cubing	{(cube)}
phenomenal	{(phenomen)>a>}>al>
besieging	<be<{(siege)}
cramping	{(cramp)}
mugginess	{(mug)}>y>>ness>
bumbling	{(bumble)}
qualitative	{(qualit)>ive>}
squadrons	{(squadron)}
restfully	{(rest)}>ful>>ly>
teds	{(ted)}
saudi	{(saudi)}
calibrates	{(calibrate)}
chapters	{(chapter)}
rulings	{(rule)}
etruscan	{(etruscan)}
rage	{(rage)}
industrious	{(industry)}>ious>
autistically	{(auto)>ic>}>ly>
dewdrop	{(dew)}{(drop)}
photoelectronic	{(photo)}{(electr)>on>}>ic>
bennington	{(bennington)}
hinterlands	{(hinterland)}
oldish	{(old)}>ish>
precipitating	{(precipit)>ate>}
repairer	{<re<(pair)}>er>
clamoured	{(clamor)}
instantly	{(instant)}>ly>
ripcord	{(rip)}{(cord)}
debased	{<de<(base)}
jostling	{(jostle)}
appreciating	{<a<(preci)>ate>}
lents	{(lent)}
ignobly	{<im<(noble)}>y>
refuted	{(refute)}
crumbs	{(crumb)}
manes	{(mania)}
grandaunt	{(grand)}{(aunt)}
frown	{(frown)}
firming	{(firm)}
kelvins	{(kelvin)}
berated	{(berate)}
nerved	{(nerve)}
fortune	{(fortune)}
mischievous	{(mischievous)}
resonating	{<re<(sono)>ate>}
jinxing	{(jinx)}
butts	{(butt)}
anvils	{(anvil)}
twains	{(twain)}
bing	{(bing)}
shagged	{(shag)}
victimizes	{(victim)}>ize>
bubbly	{(bubble)}>y>
confiscates	{(confiscate)}
engraft	<en<{(graft)}
urn	{(urn)}
woodwork	{(wood)}{(work)}
individually	{<im<(divide)>al>}>y>
dingo	{(dingo)}
lightbulbs	{(light)}{(bulb)}
guiltless	{(guilt)}>less>
troublesome	{(trouble)}>some>
decontrols	<de<{(control)}
squawks	{(squawk)}
assessors	{(assess)}>or>
cabs	{(cab)}
unfrocking	<un<{(frock)}
pricking	{(prick)}
gadget	{(gadget)}
precursors	{<pre<(curse)>or>}
sticklers	{(stickle)}>er>
rummer	{(rum)}>er>
melees	{(melee)}
roasts	{(roast)}
anticipating	{(anticipate)}
jawbreaker	{(jaw)}{(break)}>er>
substitutes	{<sub<(stitute)}
freedom's	{(free)}>dom>
accent	{(accent)}
quadrillion	{(quadr)>illion>}
cut	{(cut)}
oedipal	{(oedipal)}
scouts	{(scout)}
viewer	{(view)}>er>
jeremiah	{(jeremiah)}
situated	{(situate)}
negated	{(neg)>ate>}
ferret	{(ferret)}
japonica	{(japonica)}
ergo	{(ergo)}
escape's	{(escape)}
footsure	{(foot)}{(sure)}
refloat	<re<{(float)}
cummerbund	{(cummerbund)}
shuffler	{(shuffle)}>er>
plaque	{(plaque)}
avocations	{<a<(voc)>ate>}>ion>
outbalancing	<out<{(balance)}
jewellers	{(jewel)}>er>
sharp	{(sharp)}
theosophy	{(theo)(soph)>y>}
oliver's	{(oliver)}
dueling	{(duel)}
airlines	{(air)}{(line)}
wackier	{(wacky)}>er>
reprieve	{(reprieve)}
delegacies	{(deleg)>acy>}
oscillate	{(oscill)>ate>}
decorously	{(decor)}>ious>>ly>
pumpkin	{(pumpkin)}
quoit	{(quoit)}
hunkers	{(hunker)}
battle	{(battle)}
coastguardsmen	{(coast)}{(guard)}(men)
vowel	{(vowel)}
syphilitic	{(syphilitic)}
account	{(account)}
excising	{<ex<(cise)}
loveliest	{(love)}>ly>>est>
theocrats	{(theo)(crat)}
skewering	{(skewer)}
menus	{(menu)}
commercially	{(commerce)}>al>>ly>
parsons	{(parson)}
usually	{(usual)}>y>
jumper	{(jump)}>er>
traces	{(trace)}
socialization	{(socio)>al>}>ize>>ion>
urgently	{(urge)>ant>}>ly>
lobular	{(lobe)>ule>}>ar>
prematurely	{<pre<(mature)}>ly>
slats	{(slat)}
computed	{(compute)}
deflates	{<de<(flate)}
hangmen	{(hang)}(men)
broker	{(broke)}>er>
hesse	{(hesse)}
learnedly	{(learn)}>ly>
mire	{(mire)}
style	{(style)}
slackening	{(slack)}>en>
tidier	{(tidy)}>er>
irradiating	{<in<(radio)>ate>}
soliloquizing	{(solo)(loqu)>ize>}
tensest	{(tense)}>est>
missy	{(miss)}>y>
discernable	{(discern)}>able>
counselled	{(counsel)}
fosterite	{(fosterite)}
prewar	<pre<{(war)}
analyzes	{(analyze)}
flatfoot	{(flat)}{(foot)}
wing	{(wing)}
gauge	{(gauge)}
cervical	{(cervical)}
founts	{(fount)}
mercedes	{(mercedes)}
lager	{(lager)}
naturalist	{(nature)>al>}>ist>
brooded	{(brood)}
artfulness	{(art)}>ful>>ness>
unending	<un<{(end)}
directorship	{(direct)}>or>>ship>
belligerence	{(belliger)>ance>}
preschoolers	<pre<{(school)}>er>
lawyer	{(law)>er>}
hangman	{(hang)}{(man)}
mispronunciation	<mis<{(pronounce)}>ion>
kennels	{(kennel)}
consulate	{(consul)}>ate>
erectly	{(erect)}>ly>
nihilist	{(nihil)>ist>}
ossified	{(oss)>ify>}
consultative	{(consult)}>ive>
devoured	{(devour)}
muckiest	{(muck)}>y>>est>
archduke	(arch){(duke)}
syndicalist	{(syndic)>al>}>ist>
baked	{(bake)}
persevere	{(persevere)}
shoelace	{(shoe)}{(lace)}
sadist	{(sadist)}
incontestably	<im<{<co<(test)}>able>>y>
scuppering	{(scupper)}
teed	{(tee)}
intercommunicating	<inter<{(communic)>ate>}
priests	{(priest)}
questioners	{(question)}>er>
consommes	{(consomme)}
subscriptions	{<sub<(script)>ion>}
procreated	{<pro<(create)}
dehumanizes	<de<{(human)}>ize>
ribbed	{(rib)}
monstrously	{(monster)>ious>}>ly>
droned	{(drone)}
noiselessly	{(noise)}>less>>ly>
tropically	{(tropic)}>al>>ly>
chamfer	{(chamfer)}
searched	{(search)}
retrievers	{(retrieve)}>er>
dutifully	{(duty)}>ful>>ly>
dud	{(dud)}
pastness	{(past)}>ness>
bursaries	{(bursary)}
revisionists	{<re<(vise)}>ion>>ist>
gravesend	{(grave)>end>}
reefer	{(reefer)}
westerner	{(west)}>ern>>er>
ratcliffe	{(ratcliffe)}
unbeknownst	<un<<be<{(know)}>n>>est>
embalms	<en<{(balm)}
pond	{(pond)}
penitentiary	{(penit)>ant>>ory>}
delimiting	{<de<(limit)}
borderers	{(border)}>er>
fatigues	{(fatigue)}
moistness	{(moist)}>ness>
travel	{(travel)}
impassable	<im<{(pass)}>able>
nunnery	{(nunn)}>ory>
coordinates	{<co<(ordin)>ate>}
irate	{(irate)}
abuse	{(abuse)}
clyde	{(clyde)}
herd	{(herd)}
comptroller	{(comptroller)}
stuccos	{(stucco)}
kerr's	{(kerr)}
presumably	{<pre<(sume)}>able>>y>
sketching	{(sketch)}
hopscotch	{(hop)}{(scotch)}
castigations	{(castigate)}>ion>
sows	{(sow)}
vetoers	{(veto)}>er>
clampdowns	{(clamp)}{(down)}
jiggled	{(jiggle)}
knotholes	{(knot)}{(hole)}
struggled	{(struggle)}
nonsensical	{<non<(sense)}>ic>>al>
voyeur	{(voyeur)}
inhaled	{<in<(hale)}
befalls	<be<{(fall)}
batches	{(batch)}
protein	{(protein)}
abrasion	{(abrade)}>ion>
posh	{(posh)}
nonviolence	<non<{(viol)>ance>}
unscrews	<un<{(screw)}
swotters	{(swot)}>er>
piggybacks	{(pig)}>y>{(back)}
unproved	<un<{(prove)}
millionaire	{(million)}>aire>
wildcat	{(wild)}{(cat)}
abortion	{(abort)}>ion>
zones	{(zone)}
moonflowers	{(moon)}{(flower)}
ours	{(ours)}
author's	{(author)}
unyielding	<un<{(yield)}
threshhold	{(threshhold)}
culpability	{(culp)>able>}>ity>
collaring	{(collar)}
soothing	{(soothe)}
consorts	{(consort)}
loudmouthed	{(loud)}{(mouth)}
amortizations	{<a<(mort)>ize>}>ion>
preparative	{(prepare)}>ive>
cultivators	{(cultiv)>ate>}>or>
waistcoats	{(waist)}{(coat)}
castration	{(castrate)}>ion>
your	{(your)}
incline	{<in<(cline)}
passing	{(pass)}
recriminating	{<re<(crimin)>ate>}
illustrators	{(illustrate)}>or>
dartmoor	{(dartmoor)}
consolidations	<co<{(solid)}>ate>>ion>
crumples	{(crumple)}
pecking	{(peck)}
monotonous	<mono<{(tone)}>ious>
length	{(length)}
reissued	<re<{(issue)}
counted	{(count)}
arcade	{(arcade)}
omission	{(omit)}>ion>
liner	{(line)}>er>
mushroomed	{(mushroom)}
strips	{(strip)}
dinnertime	{(dinner)}{(time)}
ostracism	{(ostrac)>ism>}
mine	{(mine)}
humanness	{(human)}>ness>
rekindled	<re<{(kindle)}
augmentations	{(augment)}>ion>
delineation	{<de<(line)>ate>}>ion>
polymaths	<poly<{(math)}
notate	{(note)}>ate>
effluent	{(effluent)}
seedtimes	{(seed)}{(time)}
dullards	{(dull)}>ard>
absentee	{(absent)}>ee>
publish	{(publish)}
regatta	{(regatta)}
whoremonger	{(whore)}{(monger)}
nasalize	{(nasal)}>ize>
fatuous	{(fatuous)}
kashmir	{(kashmir)}
purpler	{(purple)}>er>
screwball	{(screw)}{(ball)}
rosaries	{(rose)}>ory>
howling	{(howl)}
creaminess	{(cream)}>y>>ness>
drawled	{(drawl)}
creditor	{(credit)}>or>
hurdling	{(hurdle)}
invariably	<im<{(vary)}>able>>y>
fortresses	{(fortress)}
quintessence	{<quint<(essence)}
reprieves	{(reprieve)}
bestirred	<be<{(stir)}
congruously	{(congru)>ious>}>ly>
spendthrift	{(spend)}{(thrift)}
sediments	{(sediment)}
froth	{(froth)}
reliefs	{(relief)}
ulsters	{(ulster)}
milch	{(milch)}
understood	{(understood)}
garth	{(garth)}
undervalued	<under<{(value)}
unison	{(unison)}
lusher	{(lush)}>er>
nostril	{(nostril)}
bashful	{(bash)}>ful>
poorness	{(poor)}>ness>
indents	{<in<(dent)}
conscientiousness	{(conscientious)}>ness>
tolerating	{(toler)>ate>}
malcolm	{(malcolm)}
manifesto	{(manifest)>o>}
jodhpurs	{(jodhpurs)}
overcoming	<over<{(come)}
segmentation	{(segment)}>ion>
reword	<re<{(word)}
war	{(war)}
rats	{(rat)}
sceptical	{(sceptic)}>al>
punished	{(pun)>ish>}
cumulatively	{(cumul)>ate>}>ive>>ly>
expanding	{(expand)}
decency	{(decency)}
jacobites	{(jacob)}>ite>
overruns	<over<{(run)}
absences	{(absence)}
rationalized	{(rational)}>ize>
prosthesis	{<pros<(thes)>sis>}
misruled	<mis<{(rule)}
wittily	{(wit)}>y>>ly>
cope	{(cope)}
jinxes	{(jinx)}
heterosexually	(hetero){(sex)}>al>>y>
gilmore	{(gilmore)}
kindergartens	{(kindergarten)}
bloodhound	{(blood)}{(hound)}
tipped	{(tip)}
archaisms	{(archaeo)>ism>}
insolently	{(insolent)}>ly>
tinkers	{(tinker)}
tactically	{(tactic)}>al>>ly>
pleated	{(pleat)}
formalization	{(formal)}>ize>>ion>
portraitists	{(portray)}>ist>
socialism	{(socio)>al>}>ism>
frost's	{(frost)}
lethargy	{(letharg)>y>}
gainsays	{(gain)(say)}
shannon	{(shannon)}
snappily	{(snap)}>y>>ly>
surmised	{(surmise)}
predominantly	{<pre<(domin)>ant>}>ly>
check	{(check)}
mitigates	{(mitigate)}
respiration	{<re<(spir)}>ion>
certain	{(certain)}
yaks	{(yak)}
warrenton	{(warrenton)}
edelweiss	{(edelweiss)}
prepays	<pre<{(pay)}
tenpences	{(ten)}{(pence)}
gamecock	{(game)}{(cock)}
pastimes	{(past)(time)}
duffer	{(duff)>er>}
mumbled	{(mumble)}
intermission	{(intermit)}>ion>
cherish	{(cherish)}
clewing	{(clew)}
marshy	{(marsh)}>y>
minimums	{(minim)>ium>}
petersburg	{(petersburg)}
rogers	{(roger)}
mows	{(mow)}
pastime	{(past)(time)}
impend	{<in<(pend)}
harming	{(harm)}
buoyant	{(buoy)>ant>}
counterplotting	(counter){(plot)}
updated	<up<{(date)}
foolscap	{(foolscap)}
execrating	{(execr)>ate>}
pasties	{(pasty)}
slide	{(slide)}
formalities	{(formal)}>ity>
tattler	{(tattle)}>er>
impoverish	{<in<(pover)>ish>}
dilutions	{(dilute)}>ion>
discrimination	{<dis<(crimin)>ate>}>ion>
glumness	{(glum)}>ness>
relished	{(relish)}
cytology	{(cyto)(log)>y>}
pandelli's	{(pan)}{(delli)}
altars	{(altar)}
pectin	{(pectin)}
misapprehend	<mis<{<a<(prehend)}
pugs	{(pug)}
perplexedly	{(perplex)}>ly>
elopements	{(elope)}>ment>
barring	{(barr)}
slipping	{(slip)}
dollies	{(doll)}>y>
kiwi	{(kiwi)}
mirthfully	{(mirth)}>ful>>ly>
adequate	{(adequ)>ate>}
conciseness	{(concise)}>ness>
notices	{(notice)}
authenticity	{(authent)>ic>}>ity>
rochdale	{(rochdale)}
wetted	{(wet)}
hippies	{(hippie)}
defaulted	{(default)}
marquises	{(marquis)}
rockstrewn	{(rock)}{(strew)}>n>
sallowness	{(sallow)}>ness>
problems	{(problem)}
discus	{(discus)}
tenderest	{(tender)}>est>
tyres	{(tyre)}
softish	{(soft)}>ish>
quash	{(quash)}
wanna	{(wanna)}
fencers	{(fence)}>er>
congratulation	{(congratulate)}>ion>
oversells	<over<{(sell)}
adventitiously	{(advent)>ious>}>ly>
playfulness	{(play)}>ful>>ness>
sting	{(sting)}
underbrush	<under<{(brush)}
truckles	{(truckle)}
cooperating	{<co<(oper)>ate>}
ninny	{(ninny)}
jacketed	{(jacket)}
demands	{<de<(mand)}
dais	{(dais)}
nonstick	<non<{(stick)}
beery	{(beer)}>y>
digitalis	{(digitalis)}
occupies	{(occupy)}
acropolis	{(acropolis)}
sobers	{(sober)}
winkles	{(winkle)}
respectful	{(respect)}>ful>
delaying	{(delay)}
rigour	{(rigor)}
tamarinds	{(tamarind)}
asphyxiated	{(asphyxiate)}
surrenders	{(surrender)}
owing	{(owe)}
streakier	{(streak)}>y>>er>
chantey	{(chantey)}
proliferates	{(proliferate)}
ripened	{(ripe)}>en>
schubert	{(schubert)}
argumentation	{(argue)}>ment>>ion>
disputatious	{(dispute)}>ious>
vehemence	{(vehem)>ance>}
fug	{(fug)}
spearing	{(spear)}
clingy	{(cling)}>y>
multitudinous	{(multi)>tude>}>ious>
interdicting	{<inter<(dict)}
lucrative	{(lucre)>ive>}
wantonly	{(wanton)}>ly>
dabbed	{(dab)}
aquatic	{(aqua)>ic>}
jamborees	{(jamboree)}
keystone	{(key)}{(stone)}
mopped	{(mop)}
minnesota's	{(minnesota)}
fatigued	{(fatigue)}
nonflammable	<non<{(flame)>able>}
wraps	{(wrap)}
cradled	{(cradle)}
reviving	{<re<(vive)}
turfs	{(turf)}
catchphrases	{(catch)}{(phrase)}
affably	{(affable)}>y>
dagger	{(dagger)}
innards	{(innards)}
saracen	{(saracen)}
procedural	{(proceed)}>ure>>al>
whites	{(white)}
dissoluteness	{<dis<(solut)}>ness>
semester's	{(semester)}
etches	{(etch)}
waddling	{(waddle)}
alphabet	{(alphabet)}
peking	{(peking)}
hotchpotches	{(hotchpotch)}
bipeds	{<bi<(podo)}
exultant	{(exult)}>ant>
heartfelt	{(heart)}{(felt)}
simians	{(simian)}
confides	{(confide)}
croquette	{(croquette)}
ruffs	{(ruff)}
ejecting	{<e<(ject)}
reneges	{(renege)}
hedged	{(hedge)}
shaver	{(shave)}>er>
effective	{<e<(fect)}>ive>
redeeming	{(redeem)}
bogus	{(bogus)}
antitank	<anti<{(tank)}
gushed	{(gush)}
ticklers	{(tickle)}>er>
sansome	{(san)}{(some)}
installation	{<in<(stall)}>ion>
xenon	{(xenon)}
pathet	{(pat)}{(het)}
hemorrhage	{(hemorrhage)}
occupationally	{(occupy)>ion>}>al>>ly>
storyteller	{(story)}{(tell)}>er>
volubility	{(voluble)}>ity>
niceness	{(nice)}>ness>
fairground	{(fair)}{(ground)}
streetwalkers	{(street)}{(walk)}>er>
solaria	{(sol)}{(aria)}
theodolite	{(theodolite)}
trollops	{(trollop)}
scrags	{(scrag)}
stetson	{(stetson)}
laid	{(lay)}
mainlining	{(main)}{(line)}
sclerosis	{(sclerosis)}
dormers	{(dormer)}
distension	{<dis<(tend)}>ion>
linebackers	{(line)}{(back)}>er>
blonder	{(blond)}>er>
orderliness	{(order)}>ly>>ness>
inarticulateness	<im<{(articul)>ate>}>ness>
dupont	{(dupont)}
cherubically	{(cherub)}>ic>>ly>
misconstrued	<mis<{(construe)}
constitutionalist	{<co<(stitute)}>ion>>al>>ist>
cackles	{(cackle)}
baltic	{(baltic)}
sew	{(sew)}
onset	<on<{(set)}
montreal	{(montreal)}
arced	{(arc)}
depose	{<de<(pose)}
vandalize	{(vandal)}>ize>
dowdily	{(dowdy)}>ly>
chalky	{(chalk)}>y>
posters	{(post)}>er>
cannery	{(can)}>ory>
peters	{(peter)}
withies	{(withy)}
junk	{(junk)}
bertrand	{(bertrand)}
estimation	{(esteem)>ate>}>ion>
cooperates	{<co<(oper)>ate>}
assertions	{(assert)}>ion>
cute	{(cute)}
convincing	{(convince)}
intensifier	{(intense)}>ify>>er>
misnames	<mis<{(name)}
surfaced	{(surface)}
kip	{(kip)}
lampshades	{(lamp)}{(shade)}
springboks	{(spring)(bok)}
viruses	{(vir)>us>}
generic	{(gener)>ic>}
spaghetti	{(spaghetti)}
ambrosial	{(ambrosia)}>al>
baptizing	{(bapt)>ize>}
teetering	{(teeter)}
zealotry	{(zeal)>ot>}>ory>
rectal	{(rect)>al>}
surds	{(surd)}
hideout	{(hide)}{(out)}
philanthropy	{(philo)(anthropo)}>y>
greece's	{(greece)}
grading	{(grade)}
firehouses	{(fire)}{(house)}
rigorously	{(rigor)}>ious>>ly>
foxing	{(fox)}
memphis	{(memphis)}
ardently	{(ardent)}>ly>
eviscerating	{<e<(viscer)>ate>}
irredentists	{(irredentist)}
cetera	{(cetera)}
flummoxed	{(flummox)}
dissociation	{<dis<(socio)>ate>}>ion>
inoculation	{(inoculate)}>ion>
lecher	{(lech)>er>}
leprechauns	{(leprechaun)}
subfigures	<sub<{(figure)}
gaffing	{(gaff)}
veritable	{(veri)>it>>able>}
renditions	{(rendition)}
gourmet	{(gourmet)}
concierges	{(concierge)}
niggle	{(niggle)}
potential	{(pot)>ant>>al>}
slowworms	{(slow)}{(worm)}
metropolitan	{(metro)(pol)>itan>}
lackeys	{(lackey)}
planeload	{(plane)}{(load)}
leonine	{(leonine)}
ecology	{(eco)(log)>y>}
trapp	{(trap)}
thrifty	{(thrift)}>y>
holdup	{(hold)}{(up)}
wafer	{(wafer)}
lexicon	{(lexic)>ic>>on>}
muchness	{(much)}>ness>
beaded	{(bead)}
inordinate	<im<{(ordin)>ate>}
beale	{(beale)}
consenting	{<co<(sent)}
balaclavas	{(balaclava)}
king	{(king)}
blackwells	{(blackwell)}
chromed	{(chrome)}
commandeered	{(command)}>eer>
studios	{(studio)}
borneo	{(borneo)}
saturday's	{(satur)(day)}
jezebel	{(jezebel)}
authorities	{(author)>ity>}
roomfuls	{(room)}>ful>
sinai	{(sinai)}
informers	{(inform)}>er>
armchair	{(arm)}{(chair)}
tines	{(tine)}
prejudicial	{<pre<(judic)}>al>
exteriorize	{(exterior)}>ize>
lexicons	{(lexic)>ic>>on>}
strained	{(strain)}
sluicing	{(sluice)}
caryatids	{(caryatid)}
muddier	{(mud)}>y>>er>
ignoring	{(ignore)}
storehouse	{(store)}{(house)}
happened	{(happen)}
relativist	{(relate)}>ive>>ist>
lanyards	{(lanyard)}
slaw	{(slaw)}
envisage	<en<{(visage)}
teaching	{(teach)}
influentially	{<in<(flu)>ance>}>al>>ly>
spiraling	{(spiral)}
nays	{(nay)}
bourns	{(bourn)}
triplicating	{(<tri<(plic)>ate>)}
obliterated	{<ob<(litera)>ate>}
mulishness	{(mule)}>ish>>ness>
circumscription	{<circum<(script)>ion>}
grins	{(grin)}
inclusively	{<in<(clude)}>ive>>ly>
muezzin	{(muezzin)}
messina	{(messina)}
traitor	{(trait)>or>}
descents	{<de<(scent)}
backdrops	{(back)}{(drop)}
oboists	{(oboe)}>ist>
immortals	<im<{(mort)>al>}
peppering	{(pepper)}
owner	{(own)}>er>
breach	{(breach)}
tranquillity	{(tranquil)}>ity>
enjoys	<en<{(joy)}
cornets	{(cornet)}
queues	{(queue)}
masseur	{(masseur)}
bookbinders	{(book)}{(bind)}>er>
foster's	{(foster)}
granular	{(granule)}>ar>
worrisome	{(worry)}>some>
resurrects	{<re<(surrect)}
chairmanships	{(chair)}(man)>ship>
watchfulness	{(watch)}>ful>>ness>
irreducibly	<im<{<re<(duct)}>able>>y>
coagulant	{(coagul)>ant>}
companions	{(compan)>ion>}
watchbands	{(watch)}{(band)}
blooding	{(blood)}
archaically	{(archaeo)>ic>}>ly>
derequisitioned	<de<{<re<(quire)}>ion>
swatch	{(swatch)}
quaking	{(quake)}
levitates	{(levitate)}
niggardliness	{(niggard)}>ly>>ness>
teleprinters	(tele){(print)}>er>
integrate	{(integer)>ate>}
grapple	{(grapple)}
notates	{(note)}>ate>
dumped	{(dump)}
soling	{(sole)}
dutiable	{(duty)}>able>
arnica	{(arnica)}
hinge	{(hinge)}
attics	{(attic)}
papery	{(paper)}>y>
waterproof	{(water)}{(proof)}
delusive	{(delude)}>ive>
prompter	{(prompt)}>er>
lava	{(lava)}
rankling	{(rankle)}
mean	{(mean)}
pureness	{(pure)}>ness>
macedon	{(mace)(don)}
unleashing	<un<{(leash)}
rebelliously	{(rebel)}>ious>>ly>
vicksburg	{(vicksburg)}
raunchy	{(raunchy)}
failure	{(fail)}>ure>
inters	{(inter)}
reshapes	<re<{(shape)}
kidnaps	{(kidnap)}
tolerates	{(toler)>ate>}
sheer	{(sheer)}
combative	{(combat)}>ive>
introduced	{<intra<(duct)}
connection	{(connect)}>ion>
asperse	{<a<(sperse)}
enchantments	{(enchant)}>ment>
chandlers	{(chandler)}
dub	{(dub)}
celt	{(celt)}
spaceship	{(space)}{(ship)}
surfeiting	{(surfeit)}
scrub	{(scrub)}
literateness	{(litera)>ate>}>ness>
husked	{(husk)}
cauliflowers	{(cauliflower)}
madagascan	{(madagascan)}
drinks	{(drink)}
mailbag	{(mail)}{(bag)}
paris	{(paris)}
ivan	{(ivan)}
gents	{(gent)}
mastering	{(master)}
ads	{(ad)}
maine	{(maine)}
eggplant	{(egg)}{(plant)}
encompassing	<en<{(compass)}
acrimonious	{(acrimony)}>ious>
punctures	{(puncture)}
envenom	<en<{(venom)}
tormentor	{(torment)}>or>
removable	{<re<(move)}>able>
panhandler	{(pan)}{(handle)}>er>
restaurateur	{(restaurateur)}
intricacies	{(intricacy)}
hallow	{(hallow)}
linus	{(linus)}
modulates	{(module)}>ate>
postmaster's	{(post)}{(master)}
hypnotizes	{(hypn)>ize>}
outgrowing	<out<{(grow)}
insufficient	<im<{(suffici)>ant>}
miniaturists	{(miniature)}>ist>
portcullis	{(portcullis)}
furbishes	{(furbish)}
liens	{(lien)}
untruthful	<un<{(truth)}>ful>
womb	{(womb)}
threshes	{(thresh)}
eruditely	{(erudite)}>ly>
fatherless	{(father)}>less>
unevenness	<un<{(even)}>ness>
calms	{(calm)}
bookmark	{(book)}{(mark)}
bandwidth	{(band)}{(width)}
sextant	{(sextant)}
squirt	{(squirt)}
underside	<under<{(side)}
cooperated	{<co<(oper)>ate>}
bahraini	{(bahrain)}>i>
feldspar	{(feldspar)}
screwiest	{(screw)}>y>>est>
sewn	{(sew)}>n>
disingenuously	<dis<{<in<(geni)>ious>}>ly>
heartstrings	{(heart)}{(string)}
wheeler	{(wheel)}>er>
admission	{(admit)}>ion>
pimpliest	{(pimple)}>y>>est>
jordanians	{(jordan)}>ian>
mayan	{(maya)}>n>
incomplete	<im<{(complete)}
malian	{(mal)}{(ian)}
impossible	<im<{(possible)}
erasures	{(erase)}>ure>
nightjar	{(night)}{(jar)}
chorused	{(chorus)}
yaw	{(yaw)}
exasperatedly	{(exasperate)}>ly>
headstands	{(head)}{(stand)}
bowlines	{(bowline)}
beside	{<be<(side)}
unfertilized	<un<{(fertile)}>ize>
disservices	<dis<{(serve)>ice>}
crucified	{(crux)>ify>}
predestines	<pre<{(destine)}
breakthroughs	{(break)}{(through)}
hired	{(hire)}
convoys	{(convoy)}
moreland	{(moreland)}
bounders	{(bound)}>er>
disrobes	<dis<{(robe)}
tradespeople	{(trade)}{(people)}
icier	{(ice)}>y>>er>
hallway	{(hall)}{(way)}
crouches	{(crouch)}
fussiness	{(fuss)}>y>>ness>
frisbee	{(frisbee)}
overshadowed	<over<{(shadow)}
satisfactions	{(satis)(fact)>ion>}
intransigently	{<im<(transig)>ant>}>ly>
sentimentalists	{(senti)>ment>}>al>>ist>
shoemakers	{(shoe)}{(make)}>er>
hallmarks	{(hall)}{(mark)}
sashayed	{(sashay)}
ignominiously	{<im<(nomin)>y>}>ious>>ly>
petitioning	{(petition)}
dolefully	{(dole)}>ful>>ly>
coe	{(coe)}
instances	{(instance)}
sake	{(sake)}
publishers	{(publish)}>er>
vixens	{(vixen)}
pressed	{(press)}
lightening	{(light)}>en>
nebular	{(nebul)>a>}>er>
emir	{(emir)}
indium	{(indium)}
sunned	{(sun)}
welshes	{(welsh)}
imprisons	<in<{(prison)}
preliminaries	{<pre<(limin)>ory>}
misanthropic	{<mis<(anthropo)}>ic>
distortion	{<dis<(tort)}>ion>
chaises	{(chaise)}
indoctrination	<in<{(doctrine)}>ate>>ion>
camomile	{(camomile)}
noir	{(noir)}
treetops	{(tree)}{(top)}
completed	{(complete)}
inhospitably	<im<{(hospit)>able>}>y>
matronly	{(matron)}>ly>
shrivelling	{(shrivel)}
dylan	{(dylan)}
scull	{(scull)}
concourse	{(concourse)}
editorials	{(edit)}>or>>al>
overtaxes	<over<{(tax)}
captivation	{(capt)>ive>}>ion>
nourishing	{(nourish)}
frontally	{(front)}>al>>ly>
prettier	{(pretty)}>er>
catalpas	{(catalpa)}
hindsight	{(hind)}{(sight)}
sootier	{(soot)}>y>>er>
dampish	{(damp)}>ish>
reconsidered	<re<{(consider)}
transcendence	{(transcend)}>ance>
familiarizes	{(family)}>ar>>ize>
saleswomen	{(sale)}(women)
thievery	{(thieve)}>ory>
constitutionalized	{<co<(stitute)}>ion>>al>>ize>
docherty	{(docherty)}
elephant's	{(elephant)}
ferdinando	{(ferdinando)}
distensions	{<dis<(tend)}>ion>
meddles	{(meddle)}
waterway	{(water)}{(way)}
kitti's	{(kitti)}
infrared	<infra<{(red)}
misjudged	<mis<{(judge)}
playwrights	{(play)}{(wright)}
hemorrhoids	{(hema)(rrhoid)}
expounding	{(expound)}
ramekin	{(ramekin)}
symptomatically	{(symptom)}>ic>>ly>
hawkish	{(hawk)}>ish>
symbolization	{(symbol)}>ize>>ion>
marques	{(marque)}
quin	{(quin)}
postulants	{(postul)>ant>}
exculpating	{<ex<(culp)>ate>}
superscribed	{<super<(script)}
crews	{(crew)}
slipway	{(slip)}{(way)}
deigned	{(deign)}
instinct	{(instinct)}
taxis	{(taxi)}
diminution	{(diminution)}
uncouth	<un<{(couth)}
altarpieces	{(altar)}{(piece)}
implosions	{<in<(plode)}>ion>
cinnamon	{(cinnamon)}
feeing	{(fee)}
fey	{(fey)}
depresses	{<de<(press)}
capo	{(capo)}
superannuated	{<super<(ann)>ate>}
snooze	{(snooze)}
muckraking	{(muck)}{(rake)}
overseer	<over<{(see)}>er>
hips	{(hip)}
geniuses	{(geni)>us>}
hallucinate	{(hallucin)>ate>}
blazoned	{(blazon)}
plonk	{(plonk)}
automatic	{(automatic)}
transcendentalism	{(transcend)}>ant>>al>>ism>
dries	{(dry)}
mollifies	{(mollify)}
jester	{(jest)}>er>
released	{(release)}
verse	{(verse)}
windless	{(wind)}>less>
layer	{(layer)}
